Wall time,Step,Value
1740919558.655654,49,129.94313049316406
1740919623.750177,99,125.8009033203125
1740919696.668941,149,117.43574523925781
1740919774.5784729,199,10.083024024963379
1740919854.621135,249,3.662456512451172
1740919931.7726521,299,3.424933433532715
1740920009.2656178,349,3.271458148956299
1740920090.5224042,399,3.252171039581299
1740920170.419567,449,3.225897789001465
1740920258.7619572,499,3.2805569171905518
1740920343.681928,549,3.3379244804382324
1740920429.308091,599,3.3147571086883545
1740920518.3229408,649,3.248166799545288
1740920602.841404,699,3.2974119186401367
1740920691.2749372,749,3.3109521865844727
1740920775.681123,799,3.2964186668395996
1740920864.095341,849,3.276815891265869
1740920948.981966,899,3.228099822998047
1740921033.729259,949,3.2093796730041504
1740921123.7518752,999,3.1924374103546143
1740921211.1070452,1049,3.2390518188476562
1740921303.525216,1099,3.1324896812438965
1740921388.51063,1149,3.270045280456543
1740921465.492329,1199,3.2324321269989014
1740921548.2768111,1249,3.119741439819336
1740921626.678771,1299,3.088162422180176
1740921708.9464262,1349,3.077338218688965
1740921788.1084301,1399,3.421596050262451
1740921870.380108,1449,3.1387956142425537
1740921948.9839702,1499,3.0489516258239746
1740922027.6344519,1549,3.0516412258148193
1740922109.1424608,1599,3.1213526725769043
1740922186.939392,1649,3.057497501373291
1740922271.854871,1699,2.9922561645507812
1740922349.135756,1749,3.177600622177124
1740922425.304375,1799,3.115096092224121
1740922506.151653,1849,3.0110201835632324
1740922582.131239,1899,2.997488021850586
1740922661.195641,1949,3.179863452911377
1740922736.869219,1999,2.9594650268554688
1740922817.055834,2049,3.034895658493042
1740922894.3443148,2099,2.865100622177124
1740922971.65626,2149,2.852678060531616
1740923052.6616352,2199,2.9294769763946533
1740923129.181899,2249,2.806105852127075
1740923209.805384,2299,2.8857736587524414
1740923287.3797429,2349,2.910550594329834
1740923363.846612,2399,3.1414809226989746
1740923444.781472,2449,2.8850550651550293
1740923521.109026,2499,2.869582414627075
1740923600.212123,2549,2.8414998054504395
1740923675.403834,2599,2.8646576404571533
1740923754.2151191,2649,2.879894256591797
1740923829.408323,2699,2.8994760513305664
1740923904.1864698,2749,2.714430332183838
1740923983.272115,2799,2.835932731628418
1740924058.549997,2849,2.7776527404785156
1740924137.410484,2899,2.9227514266967773
1740924212.735896,2949,2.7126646041870117
1740924286.9351912,2999,2.9444730281829834
1740924366.534741,3049,2.8976895809173584
1740924442.583383,3099,2.823430061340332
1740924523.2619991,3149,2.9161744117736816
1740924599.729824,3199,2.7634623050689697
1740924679.4784472,3249,2.722296714782715
1740924755.6706922,3299,2.74135684967041
1740924831.6160069,3349,2.750638008117676
1740924910.8389308,3399,2.745573043823242
1740924987.958312,3449,2.7213826179504395
1740925068.034476,3499,2.799367904663086
1740925143.94148,3549,2.646462917327881
1740925218.884871,3599,2.645923137664795
1740925298.8644638,3649,2.78830885887146
1740925374.775811,3699,2.7175095081329346
1740925454.219195,3749,2.7426700592041016
1740925530.9652202,3799,2.8113012313842773
1740925611.696664,3849,2.7396559715270996
1740925688.993098,3899,2.7791218757629395
1740925765.6949608,3949,2.774529457092285
1740925846.3232682,3999,2.77317476272583
1740925922.931245,4049,2.7168984413146973
1740926002.892745,4099,2.6644506454467773
1740926079.070158,4149,2.686528444290161
1740926154.495347,4199,2.642908811569214
1740926234.801357,4249,2.700751781463623
1740926310.918294,4299,2.6983213424682617
1740926390.774514,4349,2.67978572845459
1740926466.326406,4399,2.621178388595581
1740926545.6415648,4449,2.734382152557373
1740926622.1464949,4499,2.7524423599243164
1740926698.932849,4549,2.6313118934631348
1740926779.841907,4599,2.5830345153808594
1740926857.337965,4649,2.5802254676818848
1740926937.557278,4699,2.622102737426758
1740927013.97824,4749,2.6304707527160645
1740927089.522337,4799,2.6315786838531494
1740927170.056808,4849,2.61427640914917
1740927245.9869251,4899,2.6217691898345947
1740927326.176428,4949,2.6337337493896484
1740927403.754393,4999,2.561490535736084
1740927485.4070919,5049,2.5526132583618164
1740927563.011797,5099,2.7445130348205566
1740927640.2696161,5149,2.6189215183258057
1740927720.82614,5199,2.5619843006134033
1740927797.623302,5249,2.580362319946289
1740927877.9431438,5299,2.601907730102539
1740927954.641844,5349,2.5694119930267334
1740928035.620512,5399,2.471945285797119
1740928118.747774,5449,2.5511903762817383
1740928194.598441,5499,2.701403856277466
1740928277.096601,5549,2.6097874641418457
1740928356.603812,5599,2.52420711517334
1740928440.79424,5649,2.633845090866089
1740928520.436803,5699,2.650221586227417
1740928599.9620428,5749,2.504401683807373
1740928683.813161,5799,2.5969295501708984
1740928768.3220348,5849,2.6349520683288574
1740928858.500012,5899,2.599822759628296
1740928945.496446,5949,2.539090156555176
1740929031.808411,5999,2.68772029876709
1740929123.789052,6049,2.5222761631011963
1740929208.863588,6099,2.447956085205078
